content,summary
多囊卵巢综合征患者怀孕后要注意什么？,\n试管婴儿助孕的患者需要使用黄体酮进行黄体支持，胚胎移植 2 周后测血清人绒毛膜促性腺激素（hCG）水平确定有没有妊娠，移植 4～5 周后行阴道超声检查确定是否宫内妊娠。尽量避免多胎妊娠，杜绝三胎及以上妊娠，孕期定期检查，防治并发症，预防自然流产。
宫颈癌是什么？,\n1.简介：宫颈癌是指发生在宫颈阴道部及宫颈管的恶性肿瘤，是最常见的妇科恶性肿瘤之一。是全球女性中第四大恶性肿瘤。与持续感染高危型 HPV（人乳头瘤病毒）有关。早期可引起阴道流血流液等症状。如果诊断及时，可借助手术根治，部分患者需要联合放疗、化疗。\n宫颈癌患者除了经受身体上的痛苦，心理上也可能产生较多的负面情绪，但无论如何，请不要对治疗失去信心。假如你的家人朋友患了宫颈癌，也请给予她们足够的情感支持，鼓励他们积极接受治疗。\n目前，已研究出可以预防宫颈癌的疫苗—— HPV 疫苗，预计将有效降低宫颈癌的发病率和死亡率。但注射了疫苗也不能百分之百避免得宫颈癌，定期筛查仍然不可废除。早期诊断宫颈癌并规范治疗，也可以取得较好的治疗效果。\n2.症状：早期的宫颈癌常无症状，病情发展后可有以下症状：\n阴道流血： 常表现为接触性出血，在性生活后或妇科检查后阴道出血，也可表现为不规则阴道出血，老年患者常为绝经后不规则阴道出血。\n阴道排液：多数患者有白色或血性，稀薄如水样或淘米水状，有腥臭的阴道排液。晚期患者也可有大量的淘米水样或者粘稠的脓性恶臭白带。\n晚期症状： 邻近组织器官及神经被癌侵犯时，可出现尿急、尿频、便秘等症状。也可能会引起如尿毒症、肾盂积水、贫血等疾病从而出现相应症状瘤压迫或累及输尿管时，可引起输尿管梗阻、肾积水、尿毒症等；晚期患者可有贫血、恶液质等全身衰竭症状。\n3.病因：HPV 感染：持续的人乳头瘤病毒（HPV）感染是宫颈癌的主要原因，以 HPV-16 及 18 型最常见。\n性接触是 HPV 病毒最主要的传播途径，性伴侣的数目越多，第一次性行为年龄越早，患宫颈癌的风险就会越大。在性行为活跃的年轻女性中，HPV 感染很常见，感染高峰年龄为 18～30 岁。\n宫颈癌筛查率低：由于教育水平低、社会地位及经济问题等原因，宫颈癌筛查率也相对较低。特别是住在贫困地区的人群接受筛查的机会可能会受到限制。\n吸烟：主动吸烟或被动吸烟都会增加患宫颈癌的风险。\n生殖行为：分娩次数过多和服用复方口服避孕药与宫颈癌的发生有明显的关系。根据调查显示，生孩子的次数越多，患宫颈癌的概率越大。\n4.诊断：医生一般会先询问患者出现的症状、病史等，而后会进行以下检查：\n体格检查：通过对外生殖器及阴道的彻底检查来初步判断是否发生病变。\n巴氏涂片：是筛查宫颈癌最重要的工具。\n阴道镜检查 + 宫颈活检： 阴道镜下观察宫颈表面病变状况，选择可疑癌变区进行活组织检查。\n宫颈脱落细胞学检查（TCT）：可以初步判断有没有宫颈癌或癌前病变的可能。\n被确诊为宫颈癌时，任何人都会感到难以接受。此刻家人朋友一定要给予患者足够的支持与陪伴，和她们一起应对，帮助她们调整心态，尽快投入到治疗当中。\n5.治疗：手术治疗： 主要用于早期患者，根据分期不同，可采用不同范围的子宫切除及淋巴结清扫。\n放疗： 主要用于晚期患者或无法手术的患者。\n手术及放疗联合治疗： 对于局部病灶较大，可先做放疗待癌灶缩小后再手术；手术治疗后有盆腔淋巴结转移，宫旁转移或阴道有残留癌灶者，可术后放疗消灭残存癌灶，减少复发。\n化疗： 主要用于晚期或复发转移的患者，也可作为手术或放疗的辅助治疗。\n6.生活：饮食上无特殊禁忌，健康、均衡饮食即可。\n烹饪时注意少放盐，少放油，少用含盐高的调料，少吃腌制菜、腌制肉等；\n主食不要只吃精米白面，可以用粗粮、杂豆、薯类、南瓜等替代部分主食；\n荤素合理搭配，肉类首选鸡鸭鱼等白肉，少吃肥肉，鸡蛋、牛奶是蛋白质和其他营养物质的重要来源；\n如果是素食主义者，可以多吃豆类和豆制品来补充蛋白；\n多吃新鲜的水果、蔬菜，如苹果、梨、胡萝卜等；\n尽量不喝酒。\n生活上无特殊注意事项，保持健康的生活方式即可。\n戒烟；\n在医生的指导下，选择适合自己的运动方式，帮助恢复机体功能，防止器官功能的衰退，切记不宜过劳；\n注意休息，保持充足的睡眠；\n当压力过大、情绪紧张时，要学会调节情绪，可以通过与家人、朋友多交流，听喜欢的音乐等方式，缓解负面情绪。\n7.预防：可以，目前已发明出可以预防宫颈癌的疫苗——HPV 疫苗。世界范围内有三种类型的 HPV 疫苗，2 价、4 价、9 价。\n可直接点击「HPV疫苗」，进一步了解详情。\n\n8.就诊：推荐科室\n妇科\n华中科技大学同济医学院附属同济医院\n主院区地址：湖北省武汉市解放大道1095号 光谷院区地址：武汉市东湖新技术开发区高新大道501号 中法新城院区地址：武汉市蔡甸区新天大道288号\n三级甲等\n山东大学齐鲁医院\n济南市文化西路107号；济南市高新区天辰路2000号；济南市历下区南新街66号；济南市市中区望岳路1938号4号楼；济南市市中区东山路1号C7号5-7层\n三级甲等\n中山大学附属第一医院\n广东省广州市中山二路58号\n三级甲等\n中国医学科学院北京协和医院\n北京市东城区王府井帅府园1号（100730）；北京市西城区大木仓胡同41号（100032）\n三级甲等\n
宫颈癌癌前病变是什么？,\n癌前病变是指有癌变的倾向，其具有发展成恶性肿瘤的可能。宫颈癌癌前病变是指宫颈上皮内瘤变（CIN），长期存在可能转变为宫颈癌，时间可从数年至数十年，是一个由量变发生质变的连续发展过程，对妇女的身心健康及生命安全均造成较大的威胁。\n研究显示，在宫颈癌癌前病变期及时采取有效措施临床治愈率可接近 100%，阻止由宫颈癌癌前病变转变进而降低宫颈癌的发病率及致死率。\n宫颈癌前病变是指宫颈上皮内瘤变（CIN），包括宫颈不典型增生和宫颈原位癌。宫颈不典型增生：是指宫颈上皮细胞部分或绝大部分被不同程度的异型细胞所代替；宫颈原位癌：是指不典型增生的异型细胞扩展到宫颈鳞状上皮的全层。
宫颈癌可分为哪几个类型？,\n根据病理类型不同，宫颈癌可大致分为三种类型：鳞癌、腺癌及腺鳞癌等几个常见类型，其中鳞癌占宫颈癌的 75%～80%，即为每 100 个发生宫颈癌的患者，约有 75～80 人患的是浸润性鳞状细胞癌。腺癌占宫颈癌的 20%～25%，即为每 100 个发生宫颈癌的患者，约有 20～25 人患的是宫颈腺癌。\n此外，比较少见的宫颈癌类型还包括神经内分泌癌、未分化癌、混合性上皮 / 间叶肿瘤、间叶肿瘤、黑色素瘤、淋巴瘤等。
HPV 感染一定会导致宫颈癌吗？,\n不是的。\nHPV 分为高危型和低危型两大类，只有高危型 HPV 可能导致宫颈癌的发生；低危型 HPV 则可能导致外生殖器疣等良性疾病，和宫颈癌无关。
宫颈癌的易患人群有哪些？,\n初次性生活过早、多个性伴侣。\n早年分娩、初潮过早、多孕多产。\n其他生殖道病毒的感染，如单纯疱疹病毒、衣原体感染、支原体感染等。\n吸烟可增加发生宫颈癌可能。\n与高危男子接触的妇女易患宫颈癌，高危男子包括阴茎癌、前列腺癌或其前妻曾患宫颈癌等。\n未定期进行宫颈癌筛查者、服用口服避孕药、免疫抑制等人群。
宫颈癌会遗传吗？,\n目前还不是很清楚。\nHPV 是宫颈癌的病因，约 70％～80％ 的女性一生中都曾有过 HPV 感染，即每 100 个女性约有 70～80 人一生曾感染过 HPV ，但大部分并没有进展成宫颈癌。只有一小部分高危 HPV 持续感染者进展为宫颈癌，这说明高危人群患宫颈癌的风险取决于遗传背景的差异。然而遗传因素在宫颈癌中所起的作用还需要进一步深入的研究。
宫颈癌如何分期？,\n医生会在开始治疗宫颈癌之前对其进行分期，主要依据的是肿瘤的位置、肿瘤的大小，以及周围组织的受侵情况。主要有以下四期：\nI 期，肿瘤局限在子宫颈；\nII 期，肿瘤超越宫颈，但未达骨盆壁，或未达阴道下 1/3；\nⅡA：肿瘤侵犯阴道上 2/3；\nⅡA1：肉眼可见病灶 ≤ 4cm；\nⅡA2：肉眼可见癌灶 > 4cm；\nⅡB：有明显的宫旁浸润，但是未达到盆壁。\nIII 期，肿瘤已经扩展到骨盆壁，在进行直肠指诊时，在肿瘤和盆壁之间无间隙；肿瘤累及阴道下 1/3、由肿瘤原因引起的肾盂积水或肾无功能的病例。其中肿瘤累及阴道下 1/3，没有扩散到盆骨壁的为 ⅢA；肿瘤扩展到盆骨壁，或已经出现了肾盂积水或肾无功能为 ⅢB。\nIV 期，肿瘤超过了真骨盆范围，或侵犯膀胱，或直肠黏膜。其中肿瘤已侵犯临近的盆腔器官为 ⅣA，远处转移为 ⅣB。\n肿瘤越小，所在的宫颈位置越表浅，没有远处转移或者扩散，分期越早，治疗效果越好。
宫颈癌患者能活多久？,\n患者的预后与临床分期、病理类型及治疗方法密切相关。比如：\nIBb 与 IIAa 期患者，手术与放疗效果相近，有淋巴转移者预后差。\n宫颈腺癌放疗疗效不如鳞癌，早期易有淋巴转移，预后差。\nI 期宫颈癌的 5 年存活率为 81.6%，II 期宫颈癌的 5 年存活率 61.3%，III 期宫颈癌的 5 年存活率 36.7%，IV 期宫颈癌的 5 年存活率 12.1%。
宫颈癌患者一定要切除子宫吗？,\n不是。\n很多年轻的有生育要求的患者期望保留生育功能，部分 IA1 期无淋巴脉管间隙浸润者可行子宫颈锥形切除术，不切除子宫。IA1 期伴有淋巴脉管浸润，IA2，IB1，选择性 IB2 期保留生育功能患者可行根治性宫颈切除术及盆腔淋巴结切除术。
宫颈癌复发该如何治疗？,\n复发性宫颈癌治疗十分困难，目前没有最佳的治疗模式，最常用的治疗手段是放疗和手术：\n手术治疗：对绝大部分复发及难治性官颈癌的治疗只能是姑息治疗，手术治疗只适合于放疗后中心性复发的患者。对于放疗或手术加放疗后，盆腔局部复发而无远处转移的中心型复发患者，通常进行盆腔脏器廓清术。其中小子宫和（或）阴道复发患者可以行广泛性子宫切除，或同时进行盆腔淋巴结清扫。复发性宫颈癌治疗困难。预后较差，平均存活期为七个月。\n放疗： 很多患者在发现复发性宫颈癌时，已处于中晚期， 错过手术根治的治疗时期，所以放疗是治疗复发性宫颈癌的最主要手段之一。\n化疗。\n介入治疗： 是近年来发展较快的一项新的肿瘤治疗手段。\n
宫颈癌患者治疗后应该如何安排复查？,\n治疗后 2 年内每 3～6 个月复查一次，3～5 年内每 6 个月复查一次，第 6 年开始每年复查一次。复查的内容包括盆腔检查、阴道涂片细胞学检查、胸片及血常规。
宫颈癌患者还能继续怀孕吗？,\n具体情况，要根据孕妇期别、孕周、和本人及家属对维持妊娠的意愿，采取个体化治疗。医生对宫颈癌孕妇进行分期，从而根据分期来决定。对于那些延迟治疗时间，而等待宝宝出生后的早期宫颈癌孕妇来说，只能选择剖宫产进行分娩，在生产的过程中，可以同时进行子宫根治性切除术和盆腔淋巴结清扫术。
如何进行宫颈癌筛查？,\n可以筛查宫颈癌的检查包括：宫颈脱落细胞学检查（TCT）和人乳头瘤病毒（HPV）检测。如 TCT、HPV 检测发现异常，需要进一步行阴道镜及活检，以最终的组织病理学诊断为金标准。 对于持续 HPV 感染的女姓，需要每年检查宫颈脱落细胞学检查（TCT）和 HPV，必要时做阴道镜检查。 对于无免疫功能低下、无 HPV 感染症状、既往 HPV 筛查阴性的女性，可以按照美国预防服务工作组（USPSTF）的建议定期筛查宫颈癌：\n21～29 岁女性，每三年接受一次 TCT。\n30～65 岁的女性，每三年进行一次 TCT，每 5 年进行一次 HPV 检查；或者每五年进行一次 TCT + HPV 检查（联合检查）。\n65 岁以上的女性，如果既往接受过充分筛查且无危险因素，则无须接受筛查。\n因癌前病变以外的其他原因接受过包括宫颈切除在内的子宫切除术的女性，无须接受筛查。
宫颈癌的预防措施除了接种 HPV 疫苗，还有哪些？,\n戒烟；\n注意性接触的卫生和安全，戴安全套可以有效减少 HPV 的传染；\n定期进行宫颈癌筛查。
接种了 HPV 疫苗，一定可以防止宫颈癌发生吗？,\n不一定。\n国内的 2 价疫苗针对的是 HPV-16 型 和 HPV-18 型，这两种亚型的 HPV 导致了 70% 的宫颈癌，注射 2 价疫苗可以降低这部分宫颈癌的发生率。但导致宫颈癌的 HPV 还有许多其他亚型，不在预防范围内（4 价、9 价也不能完全覆盖）。此外，接种疫苗的时机也很重要。推荐在 9～12 岁之间接种，13～26 岁可补种，最佳接种是首次性生活之前。如果已有性生活后才接种，会导致疫苗的预防作用大打折扣。\n不过，即使错过宫颈癌的最佳接种时间也不要太沮丧。宫颈癌是可以筛查的，只要坚持筛查、在癌前病变时就发现问题，然后尽早解决，同样可以阻止宫颈癌的发生。
HPV 是什么？,\n1.简介：HPV 又称「人乳头瘤病毒」，是一种双链 DNA 病毒，可致人类皮肤和黏膜异常增生。感染该病毒后可出现寻常疣、尖锐湿疣等良性皮肤病损，也可能引起恶性肿瘤，如宫颈癌、外阴癌、肛门癌等，为涉及到多学科的疾病。但也有部分人感染了该病毒，没有出现任何症状和不适的感觉。\n目前发现，HPV 有 200 多种类型（医学上称为「亚型」）。根据 HPV 致癌潜能，可将 HPV 分为高危型和低危型：\n高危型 HPV：型别主要有 HPV 16、18、26、31、33、35、39、45、51、52、53、56、58、59、66、68、73、82 等。主要引起外生殖器癌、宫颈癌及高度外阴、宫颈上皮内瘤变及其他部位恶性病变。\n低危型 HPV：型别主要有 HPV 6、11、40、42、43、44、54、61、70、72、81、83 等。主要诱发外生殖器和皮肤的尖锐湿疣以及低度外阴、宫颈上皮内瘤变及其他部位的疣类病变和低度上皮内瘤变。\n2.症状：HPV 感染后可无症状表现，部分患者皮肤表现为各种疣，黏膜表现为乳头瘤，大部分为良性病变，也可能导致恶性肿瘤，最常见的癌变为宫颈癌，具体表现如下：\n寻常疣：表现为角质丘疹逐渐增大，表面粗糙、坚硬、黄褐色，好发于手指、手背、足缘，偶有压痛。\n跖疣：发生于足部的寻常疣，可自觉疼痛。\n扁平疣：好发于面部、手背，为质硬、光滑的浅褐色或红色丘疹，偶微痒，可沿抓痕排列呈条状。\n尖锐湿疣：好发于男女生殖器，如男性的冠状沟、龟头、包皮系带、肛门等，女性的大小阴唇、阴蒂、阴道口等，亦可发生于乳房、口腔等处。初期表现为淡红色丘疹，后为疣状突起，可为菜花样、乳头样、鸡冠样，病变处潮湿、疼痛、瘙痒，为灰白、粉红或污灰色，可有破溃、流血、渗出。\n复发性呼吸道乳头瘤病：主要表现为喉乳头状瘤，病灶通常较大，会阻塞喉部入口引起呼吸困难并影响发声。\n肛门生殖器癌：宫颈癌的常见表现为阴道不规则出血，接触性出血、白带增多伴有异味、宫颈糜烂，疼痛、性交时疼痛加重等。还可引起肛门癌、阴茎癌、阴道癌、外阴癌等。\n其他恶性肿瘤：口腔癌、鼻咽癌、喉癌、食管癌等，相应部位可有溃疡、疼痛、出血的症状，检查可见乳头或菜花样凸起。\n3.病因：性行为：由于 HPV 广泛存在于自然界，人的皮肤、黏膜等都携带有这种病毒，所以凡是有性生活的人群，都有可能通过各种性行为感染 HPV，包括阴道性交、口交、肛交等。\n直接接触：直接与 HPV 感染者密切接触，尤其是皮肤黏膜存在伤口时，可能感染 HPV。\n间接接触：通过接触感染者的衣物、洗漱用品、用过的便器等感染。\n母婴传播：若孕妇感染了 HPV 病毒，则婴儿通过产道时有可能发生感染。\n4.诊断：医生根据患者的临床症状，询问患者是否存在高危性生活史、有无与 HPV 感染者的直接、间接接触途径，结合相关检查（细胞学检查、阴道镜检查、组织病理学检查）结果以诊断是否感染 HPV。\n5.治疗：治疗仅针对因 HPV 感染所致的疾病问题。比如：\n生殖器疣（尖锐湿疣）：需要由医生根据病情判断是否需要治疗，皮损的治疗方法包括激光、电灼、冷冻等疗法。\n宫颈低级别鳞状上皮内病变（LSIL）：为良性病变，不是癌前病变，可选择随访或者物理治疗（比如激光）。\n宫颈高级别鳞状上皮内病变（HSIL）：为癌前病变，以后有发展为宫颈癌的可能，建议进行宫颈锥切术。\n6.生活：保持充足的睡眠，避免熬夜、过度劳累，以免对身体造成消耗，不利于病情的恢复。\n适当锻炼，增强体质，加快代谢，以提高对病变的抵抗能力。\n戒烟、戒酒，以减少对病变的刺激。\n保持心情愉悦，注意缓解生活、工作中的压力。\n保持生殖器或其他皮肤黏膜病损部位的卫生，勤换内裤或衣物，并单独进行贴身衣物的清洗、消毒。\n生殖器病变的患者应避免性生活，以免加重疾病损害、传染性伴侣。\n多饮水，少吃海鲜、辛辣刺激、油腻的食物，饮食以清淡为主，以减少饮食对病情的刺激，促进身体对营养的吸收。\n7.预防：HPV 感染可通过以下方式预防:\n避免非婚式性接触、没有生育要求时的性接触使用避孕套、性接触前进行清洁、初次性交年龄不宜过小，以切断性传播途径；\n洗浴用品、内衣裤不与他人共用并定期清洁，在公共厕所选择蹲便代替马桶，公共浴池选择淋浴代替坐浴，避免通过物品间接接触传播感染；\n育龄女性可进行高危型 HPV 的定期筛查，亦可接种 「HPV 疫苗」预防感染。可以点击「HPV 疫苗」进一步了解详情。\n8.就诊：推荐科室\n妇科\n中国医学科学院北京协和医院\n北京市东城区王府井帅府园1号（100730）；北京市西城区大木仓胡同41号（100032）\n三级甲等\n复旦大学附属妇产科医院\n黄浦院区地址：上海市方斜路419号；杨浦院区地址：上海市沈阳路128号\n三级甲等\n北京大学第三医院\n北京市海淀区花园北路49号\n三级甲等\n华中科技大学同济医学院附属同济医院\n主院区地址：湖北省武汉市解放大道1095号 光谷院区地址：武汉市东湖新技术开发区高新大道501号 中法新城院区地址：武汉市蔡甸区新天大道288号\n三级甲等\n
HPV 感染是怎么发生的？,\nHPV感染部位为人的皮肤和黏膜，病毒通过皮肤黏膜的接触感染人体，其中性接触传播为 HPV 的主要传播方式。HPV 不入血，所以血液传播不是 HPV 的传播途径。
HPV 感染是性病（性传播疾病）吗？,\n不全是。\nHPV 病毒可通过性行为传播，但需要注意的是，并不是所有的HPV感染都是性病。\nHPV 感染引起的尖锐湿疣，好发于男女生殖器、肛周、尿道等部位，属于性病。\n但 HPV 感染引起的寻常疣、跖疣、扁平疣等皮肤病损属于病毒性皮肤病，不是性病；口腔癌、鼻咽癌、喉癌、食管癌等也不属于性病；宫颈癌和肛周癌的发生与尖锐湿疣等癌前病变密切相关，但长期、持续的高危型 HPV 感染才是宫颈癌发生的主要危险因素，故也不属于性病。
HPV 感染导致的病变常出现在哪些部位？,\n不同的 HPV 亚型「喜欢」感染的部位不同，具体如下：\n皮肤型：如 1、2、4 型 HPV，可导致跖疣、寻常疣；3、10 型 HPV 可导致扁平疣等皮肤病。\n肛门生殖器上皮型：超过 40 种 HPV 亚型喜欢感染肛门、生殖器上皮，可引起尖锐湿疣和恶性肿瘤。常见感染部位包括阴茎、阴囊、会阴、肛管、肛周区、阴道口、外阴和子宫颈。HPV16、18 为导致宫颈癌的两种主要亚型。\n其他黏膜表面型：HPV16 型可感染口腔黏膜，可能与口腔鳞状细胞癌有关；6、11 型 HPV 可感染呼吸道黏膜，尤其是在婴幼儿中。
HPV 感染会造成哪些严重后果？,\n低危型 HPV 感染可能造成寻常疣、跖疣、扁平疣、口腔疣、尖锐湿疣等皮肤黏膜损害，高危型 HPV 感染会引起口咽部恶性肿瘤、宫颈癌等严重后果。
HPV 感染容易在哪些人中发生 ？,\n性生活不洁者：如同时交往多个性伴侣、性接触时未做保护措施、初次性交年龄过小，性生活前后未及时清洁的人群，增加了通过性接触传播途径感染 HPV 的风险。\n免疫功能低下者：如因红斑狼疮、类风湿性关节炎等自身免疫病接受免疫抑制剂治疗的人群、以及患有艾滋病等免疫缺陷病的人群，因免疫力下降增加 HPV 感染的风险。\n患有其他性传播疾病的人群：如单纯疱疹感染、淋病等，HPV 与其他微生物作用或可改变阴道内环境，增强复制能力和持久作用，从而引发感染。
HPV 感染会遗传吗？,\nHPV 不会遗传。HPV 所致疾病为病毒性传染病，不是遗传性疾病，所以 HPV 感染不会遗传给后代。\n但婴儿出生时是有可能从母亲那里感染 HPV 的，主要是因为接触了被 HPV 污染的羊水，但大部分婴儿在出生 1～2 年内可通过自身免疫系统清除体内的 HPV。
HPV 感染怎么检测？,\n目前仅对宫颈标本和口咽癌活检标本进行 HPV-DNA 分型检测，检测有无 HPV 感染。对宫颈标本进行 HPV 检测主要是为了筛查宫颈癌，对口咽癌活检标本进行 HPV 检测主要是为了确定口咽癌的分期和预后。\n虽然阴道、阴茎、肛门、口咽等其他部位也可以进行 HPV 检测，但目前尚不推荐对这些部位进行常规的 HPV 检测，仅在某些特殊情况可以考虑检测。\n目前也没有有效的方法通过血液检测有无 HPV 感染。
HPV 感染需要做什么检查？为什么要做这些检查？,\n细胞学检查：如宫颈脱落细胞学检查（TCT），使用特定毛刷采集患者脱落的宫颈细胞，经处理后进行显微镜下观察，可以发现癌细胞及高低级别病变的鳞状上皮细胞、病变的腺上皮细胞、子宫颈管细胞、子宫内膜细胞等，常与 HPV-DNA 分型检测同时检测。\nHPV-DNA 分型检测：采取病变标本后进行 HPV 的基因型检测，主要检测方法有二代杂交捕获技术、酶切信号放大技术、荧光 PCR 技术及 RNA 逆转录扩增法，以确定感染 HPV 的具体型别。\n阴道镜下病理活检：医生在阴道镜下观察患者宫颈病变情况，采取可疑的病变组织，固定好进行病理学检查以确定宫颈病变的性质。
HPV 感染时，能彻底根除 HPV 吗？,\n目前没有药物可以清除 HPV。但只要感染者没有免疫系统缺陷，在感染 HPV 的 2～3 年内即可自行清除 HPV。
HPV 感染的人在饮食上要注意什么？,\n饮食上应注意营养均衡，尽量不喝酒；\n烹饪时注意少放盐，少放油，少用含盐高的调料，少吃腌制菜、肉等；\n主食不要只吃精米白面，可以用粗粮、杂豆、薯类、南瓜等替代部分主食；\n荤素合理搭配，肉类首选鸡鸭鱼等白肉，少吃肥肉，鸡蛋、牛奶是蛋白质和其他营养物质的重要来源；\n如果是素食主义者，可以多吃豆类和豆制品来补充蛋白；多吃水果、蔬菜。
HPV 感染影响生育吗？,\n可能影响生育，但缺少权威统一的研究结论。\n研究证明 HPV 感染可能导致不孕不育或影响辅助生殖治疗手段。HPV 感染可降低男性精子质量，导致精子活力下降，从而影响受精和妊娠，导致男性不育。HPV 感染多与其他病原体同时存在，可能会引起生殖道炎症或整个盆腔的炎症，从而影响胚胎的着床率，造成女性不孕。\nHPV 感染对胎儿发育也有负面影响，HPV 可能导致染色体变异，造成胎儿发育畸形。目前研究已发现 HPV16 可严重抑制使胚胎发育。HPV 感染会增加早产的概率，还可能通过胎盘、产道传染而胎儿。
月经失调是什么病？,\n1.简介：月经失调是一种常见的妇科病。月经是女性的一种生理现象，表现为周期性的阴道流血，两次流血的时间间隔大约是一个月（因人而异，一般在 21 天到 35 天，平均 28天），每次阴道流血大约持续 2～8 天。正常的月经是规律的，时间间隔规律，出血天数稳定，出血量稳定。如果以上三个规律任一出现异常，都可叫做月经失调。\n导致月经失调的原因多种多样，有生活习惯因素，精神心理因素，疾病因素等。不同原因导致的月经失调，治疗方案不同。不要盲目相信广告或者「调经」偏方，要到正规医院检查、治疗。\n2.症状：月经周期长短异常：月经的间隔时间变长了或变短了。\n持续时间的异常：月经期出血的时间变长了或变短了。\n月经出血量异常：月经期出血的量变多了或变少了。\n还有月经前后伴随的一些异常的症状，比如小腹坠痛、胀闷、腰膝酸软等等。\n3.病因：常见的原因有以下几种：\n女性生殖内分泌失调：例如：功能失调性子宫出血、多囊卵巢综合征、高催乳素血症、病理性闭经、原发性痛经等；\n生殖器官的疾病，如子宫内膜炎，生殖器官肿瘤如子宫肿瘤、卵巢肿瘤，还有卵巢分泌雄性激素，也可以出现月经失调；\n生殖器官发育异常：例如先天无子宫，先天无阴道，先天阴道闭锁等；\n许多全身性疾病：如血液病（血小板减少）、高血压、乳腺腺病、结核病（输卵管结核、子宫内膜结核）、甲状腺的功能异常、肾上腺异常、糖尿病、肝功能异常等，也可以造成月经失调；\n减肥、节食等：现在比较流行减肥，控制饮食以后也可能造成月经失调；\n精神心理因素：长期持续的精神压抑、烦闷、劳累、精神创伤，或者心理刺激都会影响到下丘脑，从而造成月经紊乱。\n不良的生活习惯：比如在寒冷的天气穿着轻薄，嗜烟嗜酒等，也会影响到月经的正常周期。\n其他原因：还有妇科的宫内节育器、不规律服用避孕药，长期服用神经精神类药物，如抗抑郁药等，也可能发生月经失调。\n4.诊断：基本妇科检查\n包括盆腔内诊检查、白带检查、子宫附件超声检查、性激素内分泌六项检查、宫颈液基细胞学检查等。检查目的是为了观察女性内分泌有无紊乱、相关器官有无器质性病变等。\n宫腔镜检查\n主要是用于检查子宫腔内的情况，通过专业的检查工具可以观察到子宫腔内壁的情况。\n其他检查\n主要是对其他生命体征或者其他器官的检查，如甲状腺、肾上腺、血压、血糖等检查。检查目的是排除其他疾病的可能。\n5.治疗：青春期是指 10 到 18 岁的女孩。处在这个年龄群的女孩出现月经失调，应到正规医院妇科，请医生检查明确月经失调的病因，依据病因对症治疗。在初潮后 1～2 年，青春期异常子宫出血（Abnormal uterine bleeding，AUB）最常见的原因是与下丘脑-垂体-卵巢轴不成熟有关的无排卵性月经出血。\n一般来说，女性出现月经来潮就可以怀孕生子，生育期也就是说能怀孕的时期。处于生育期出现月经失调，在进行治疗的时候需要考虑近期是否有怀孕的打算，排除掉妊娠可能后进行治疗\n6.生活：合理饮食，尽可能避免吸烟饮酒，不要暴饮暴食，避免体重过重，不要过度节食造成营养不良，导致月经不规则。\n保持适量的运动负荷，经期避免剧烈运动。\n保持合理的生活作息，避免过度劳累以及熬夜。\n杜绝在经期食用生冷寒凉的食物，注意保暖，尤其是小腹和下肢的保暖。\n保持精神愉快，避免精神刺激和情绪波动。个别在月经期有下腹发胀、腰酸、乳房胀痛、轻度腹泻、容易疲倦、嗜睡、情绪不稳定、易怒或易忧郁等现象，均属正常，不必过分紧张。\n注意卫生，预防感染。首先注意外生殖器的清洁，经期勤换卫生巾。\n定期体检，早发现疾病，早治疗。\n7.预防：由疾病引起的月经失调，很难做到预防，只能在发生月经失调时早就诊、早治疗。但由不良生活因素引起的月经失调，可以预防：\n学会调节情绪，保持心态平和、心情愉悦，避免长期抑郁、焦虑。\n不要盲目节食、减肥，碳水化合物、蛋白质、脂肪类食物都应该适当摄入。如果想减肥，应该在保持营养均衡的前提下减少能量摄入，还可以借助运动增加能量消耗。\n戒烟、限酒。\n避免肥胖，BMI 最好保持在 18.5～24 kg / m2。比如一米六的女生体重要保持在 95 到 123 斤之间。\n科学避孕，比如使用避孕套、口服短效避孕药、放置节育环等，不要把紧急避孕药当做「常规」避孕方法。\n8.就诊：推荐科室\n妇科\n中国医学科学院北京协和医院\n北京市东城区王府井帅府园1号（100730）；北京市西城区大木仓胡同41号（100032）\n三级甲等\n复旦大学附属妇产科医院\n黄浦院区地址：上海市方斜路419号；杨浦院区地址：上海市沈阳路128号\n三级甲等\n北京大学第三医院\n北京市海淀区花园北路49号\n三级甲等\n华中科技大学同济医学院附属同济医院\n主院区地址：湖北省武汉市解放大道1095号 光谷院区地址：武汉市东湖新技术开发区高新大道501号 中法新城院区地址：武汉市蔡甸区新天大道288号\n三级甲等\n
